candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
14471,35.198790826653195,141.20011155442333,156.438409437134,18.235459259353046,141.35498522336897,0.3,1.5845191,27.69882,1.5890799961459439,27.90247499406671
14473,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,1.5976176783016367,27.83469976639633
15245,44.630188339062144,142.28392155315504,156.22922600477568,22.00346242827179,135.1437926255581,0.3,1.5147649,26.78842,1.5039811965552752,26.77040092288347
16155,43.292100683490645,142.47766805515704,152.3953933181366,18.1464968477547,152.67079776185233,0.3,1.6503664,29.315527,1.6940379746175371,29.690824864278486
16734,38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.5945345,28.106705,1.6335121123934946,28.543486357553565
17669,41.64546268840413,142.43563160878495,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4815972,26.473606,1.4792227859158964,26.241482627967518
17828,40.00416223195105,143.0993597578589,152.12228890112956,21.415707121677933,142.67969085731986,0.3,1.6029749,28.14136,1.6244210191962458,28.568541960888755
19734,41.30203545009286,141.1352626581398,155.90482272699415,18.54680789054704,135.0337329874177,0.3,1.5278934,26.85226,1.5199365497904496,26.855326064334097
20093,35.161480042173366,140.90590260757233,155.36427824315734,25.73418649686606,154.0259830021808,0.3,1.6500616,29.267689,1.6860016915892282,29.996628750043175
20136,35.06055606116331,142.1493390427889,155.7911046884381,18.393004422283912,136.18146919363258,0.3,1.5533587,27.199196,1.5584933095691729,27.255827833265446
20178,38.015184091015335,142.737283634049,152.337015177881,18.387051867112948,152.6579487093486,0.3,1.6701117,29.471302,1.7190313999994435,29.944511176488664
20583,36.0903697500971,143.0870262237938,156.0460988034627,20.712096923665385,136.86589748864228,0.3,1.5573449,27.253685,1.5591919374672902,27.347227280841576
