candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Physical_WinWin,XGB_WinWin,RSM_WinWin
25509,35.285068535350625,142.54736380598777,154.7070800510964,18.92279198348678,148.94921819423732,0.3,1.6130267,28.861849,1.6757352257664997,29.228591519821595,1.6448374431098414,28.891071636572846,True,False,True,False,False,False
25897,36.20017695125748,142.8655418119776,161.84122545522078,23.114766565277257,135.04654972257296,0.3,1.4765925,26.529135,1.4810943541478743,26.329460810503495,1.483419906839863,26.469554528713847,True,False,True,False,False,False
26172,38.376365292384634,142.81943611850943,155.40315041522206,18.07916709702495,135.08500669362743,0.3,1.5393178,27.019823,1.5472095976757814,27.04985910946508,1.5400020876520193,27.042687722323404,True,True,True,False,False,False
26175,36.344330917212694,142.87808523146072,152.27375396114826,18.565678541713062,143.04540052012962,0.3,1.5996006,28.218168,1.6479690980098876,28.702385166053606,1.6236470564692922,28.44766343939838,True,False,True,False,False,False
27107,39.734425894544735,142.84775625215758,152.69352609217825,18.036668565123293,152.50651810908468,0.3,1.6560893,29.46691,1.7086095118235218,29.79217998634488,1.6781751686172304,29.454283435082807,True,False,True,False,False,False
27646,36.80412500142963,141.07933463723293,156.9131740022429,18.087336505229565,135.1502726295088,0.3,1.5162059,26.960274,1.5270883933477903,26.87643129031908,1.5245585281654486,26.92541457848378,True,False,False,False,False,False
27920,35.283111911568405,143.07202173494156,155.00197956679906,20.60079084450012,136.5350256012847,0.3,1.5527155,27.392712,1.569565976480853,27.46824998400609,1.5551641641479055,27.358595799684473,True,False,True,False,False,True
27969,35.2522235509723,141.1649510096329,153.27954947828803,18.33153106954046,135.35730013841012,0.3,1.5546085,27.264517,1.5676990001141715,27.45127392900871,1.5593577345292449,27.40782537557065,True,False,True,True,False,True
28058,35.67817785227997,142.3273563842525,154.40549572504418,18.17203605847591,142.04517132514187,0.3,1.583154,28.023108,1.6199105367843423,28.277461025104582,1.5980298333726073,28.061330974026976,True,False,True,True,True,False
28147,36.36812661334136,142.45120375026926,156.1234637010476,18.145942641305076,153.16651441439163,0.3,1.6457306,29.107012,1.695286651674118,29.548119725965176,1.6604888348272069,29.161324445070015,True,True,False,False,False,False
28561,35.316438625528,143.14763498987875,158.19279497251122,18.91805833449954,154.03355600302422,0.3,1.6214082,29.01985,1.6892966057497985,29.407758845529006,1.6529527204815984,29.01762694760966,True,False,True,False,False,False
28709,35.01326262342913,142.8275251296202,152.26209982056625,20.726678664496063,139.04602515576408,0.3,1.5691847,27.845488,1.6153940100210336,28.226430764786958,1.5938130137150268,28.00719898416744,True,False,False,True,True,False
28797,37.76754323086374,142.14416189363345,153.96243862889756,18.744648012057283,136.46652267828432,0.3,1.5446348,27.344164,1.5671929716068216,27.461739620109046,1.5562005328133912,27.38877334805992,True,False,False,False,False,True
28883,36.730761400015965,143.0215133492278,155.66382853998493,18.058870145965606,145.10480911645163,0.3,1.5976666,28.255985,1.6346667872260676,28.50112055432236,1.6087902390859024,28.241051674437834,True,False,False,False,False,False
29229,37.931497605900844,142.5055772953551,158.0009287608319,18.838415549777704,136.5925360200275,0.3,1.5048097,26.878082,1.5333815530696784,26.946598204355194,1.5261849029567032,26.945360915135808,True,False,True,False,False,False
29806,35.18079983242663,142.46790320643285,153.05097426490272,18.450216233777894,141.17721518437222,0.3,1.5894034,28.017181,1.6275790340127596,28.365632146505764,1.6056373781640212,28.145795983396845,True,False,True,False,True,False
29807,36.41271565095852,142.62964179891438,158.55550501319408,18.34721745104048,135.5061613289625,0.3,1.5016804,26.783422,1.526119318829775,26.75296960973178,1.5223442453558858,26.80022872423239,True,False,True,False,False,False
