candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Distance_to_Physical_Pareto
6447,39.68642256341396,141.9131968248494,159.7729112431482,19.263446424464775,139.47607375588356,0.3,1.5049974,27.063862,1.5310180732352283,27.076899736915937,1.5204296197476452,27.03592677765509,False,False,False,0.035712202410683055
6448,41.83712712956844,140.24559141874255,157.96063017226706,34.772331115313456,139.47490259883017,0.3,1.4814752,27.439974,1.491459344116862,27.641911105845452,1.477003138297665,27.498622823614067,False,False,False,0.20476895461661823
6449,42.60627232111116,142.32317602318446,159.60073610845308,20.309358851932867,144.99691826982314,0.3,1.5346159,27.691097,1.5681971906177157,27.78948453004292,1.5462778654252152,27.60419176059725,False,False,False,0.06867051733177214
6450,37.95313507344751,140.78109759848047,155.296150930639,20.40650583066477,143.27798219273615,0.3,1.5664165,27.943245,1.5976648958839563,28.279865164614225,1.5764974388778108,28.05089135941753,False,False,False,0.05099185973415409
6451,37.84650433122809,141.63382321697327,155.92843025523726,36.791291540493646,140.80278079651822,0.3,1.5120331,27.863668,1.5438089846196776,28.39111219433023,1.5169473229560286,28.08639832702447,False,False,False,0.21420730864394003
6452,39.90831566258184,139.94291346726072,161.80639726821855,20.46266053795322,138.0419170283437,0.3,1.48583,26.746565,1.4851853110810271,26.60322835790941,1.4835902704300985,26.677213526086184,False,False,False,0.05161155208822718
6453,37.735493135264974,140.00884814566106,158.0484593257746,27.19448266974971,135.10816153991274,0.3,1.4849035,26.874588,1.484097062462395,26.873802966878845,1.4803413179060296,26.88768449975984,False,False,False,0.09862249875874021
6454,41.672952760162,140.3325422078214,153.5163450354189,35.71143375352024,143.14791604703427,0.3,1.5306158,28.1758,1.560212451680861,28.83446323606833,1.5355531924811283,28.517875990415654,False,False,False,0.21881346546755195
6455,42.46730445880717,141.3301710284343,159.14275688445164,23.21067554905376,139.9425116575683,0.3,1.4951109,27.222614,1.5168224892962492,27.18983606919,1.5047887115904062,27.12486761519493,False,False,False,0.08398942259000801
6456,39.720389460532445,140.68266790730297,159.43743523825776,26.95906630850256,137.23264738693064,0.3,1.4838412,26.962723,1.4871645439562895,26.93396765787114,1.4810019877340603,26.927718883107616,False,False,False,0.10611850298615413
6457,42.23799765598643,142.1713822461234,161.6472867564204,37.56438148647271,140.3122848923892,0.3,1.4692342,27.312687,1.4692376467654331,27.348607342993866,1.4593490154256543,27.31016707752581,False,False,False,0.21584189491288985
6458,40.10437569070776,138.4239869113035,157.47416466699914,23.88061085285743,145.98277371470232,0.3,1.5451342,28.176165,1.5709032314572688,28.37532661399048,1.5477807916911597,28.091685595571946,False,False,False,0.1303172377504522
6459,42.128717219670094,142.65271362628,157.89506854493322,33.312680614344046,147.55755563175066,0.3,1.5443019,28.477394,1.5724304348520666,28.686247290715915,1.5477369913935564,28.425187253395173,False,False,False,0.1730938512216985
