parameter,value,mu,BF,Delta_BF
theta1_deg,21.2,0.3,1.5592959,0.013727188
theta1_deg,21.4,0.3,1.5590008,0.013432145
theta1_deg,21.6,0.3,1.5578526,0.012283921
theta1_deg,21.8,0.3,1.5570602,0.011491537
theta1_deg,22.0,0.3,1.5572569,0.011688232
theta1_deg,22.2,0.3,1.5562859,0.010717154
theta1_deg,22.4,0.3,1.5555698,0.010001063
theta1_deg,22.6,0.3,1.5570871,0.011518359
theta1_deg,22.8,0.3,1.556271,0.010702252
theta1_deg,23.0,0.3,1.5551856,0.009616852
theta1_deg,23.2,0.3,1.5549958,0.009427071
theta1_deg,23.4,0.3,1.5487202,0.003151536
theta1_deg,23.6,0.3,1.5487202,0.003151536
theta1_deg,23.8,0.3,1.5478096,0.0022408962
theta1_deg,24.0,0.3,1.5474405,0.0018718243
theta1_deg,24.2,0.3,1.5470865,0.0015177727
theta1_deg,24.4,0.3,1.5472841,0.0017154217
theta1_deg,24.6,0.3,1.5472841,0.0017154217
theta1_deg,24.8,0.3,1.5473509,0.0017821789
theta1_deg,25.0,0.3,1.5471448,0.001576066
theta1_deg,25.2,0.3,1.545889,0.00032031536
theta1_deg,25.4,0.3,1.5453031,-0.0002655983
theta1_deg,25.6,0.3,1.5461105,0.0005418062
theta1_deg,25.8,0.3,1.5461892,0.00062048435
theta1_deg,26.0,0.3,1.5457253,0.000156641
theta1_deg,26.200000000000003,0.3,1.5475601,0.0019913912
theta1_deg,26.4,0.3,1.547087,0.0015182495
theta1_deg,26.6,0.3,1.5467567,0.0011880398
theta1_deg,26.8,0.3,1.5467567,0.0011880398
theta1_deg,27.0,0.3,1.5469704,0.0014016628
theta1_deg,27.200000000000003,0.3,1.5467947,0.0012259483
theta1_deg,27.4,0.3,1.5462884,0.0007196665
theta1_deg,27.6,0.3,1.5460393,0.00047063828
theta1_deg,27.8,0.3,1.5458223,0.00025355816
theta1_deg,28.0,0.3,1.5455687,0.0
theta1_deg,28.200000000000003,0.3,1.5457258,0.00015711784
theta1_deg,28.4,0.3,1.5453284,-0.00024032593
theta1_deg,28.6,0.3,1.5451307,-0.00043797493
theta1_deg,28.8,0.3,1.5456177,4.8995018e-05
theta1_deg,29.0,0.3,1.544565,-0.0010037422
theta1_deg,29.200000000000003,0.3,1.544565,-0.0010037422
theta1_deg,29.4,0.3,1.5444444,-0.0011242628
theta1_deg,29.6,0.3,1.5423276,-0.0032410622
theta1_deg,29.8,0.3,1.5420891,-0.0034796
theta1_deg,30.0,0.3,1.5420891,-0.0034796
theta1_deg,30.200000000000003,0.3,1.5405976,-0.0049711466
theta1_deg,30.4,0.3,1.5408096,-0.0047590733
theta1_deg,30.6,0.3,1.5409527,-0.004616022
theta1_deg,30.8,0.3,1.5412334,-0.0043352842
theta1_deg,31.0,0.3,1.5392551,-0.0063135624
theta1_deg,31.200000000000003,0.3,1.5393136,-0.00625515
theta1_deg,31.4,0.3,1.5402312,-0.0053374767
theta1_deg,31.6,0.3,1.5380284,-0.007540345
theta1_deg,31.8,0.3,1.5378321,-0.0077365637
theta1_deg,32.0,0.3,1.5363607,-0.009207964
theta1_deg,32.2,0.3,1.5358423,-0.009726405
theta1_deg,32.4,0.3,1.5352539,-0.010314822
theta1_deg,32.6,0.3,1.5344862,-0.01108253
theta1_deg,32.8,0.3,1.5339527,-0.011615992
theta1_deg,33.0,0.3,1.5339527,-0.011615992
theta1_deg,33.2,0.3,1.5343143,-0.01125443
theta1_deg,33.4,0.3,1.5343986,-0.011170149
theta1_deg,33.6,0.3,1.5338434,-0.0117253065
theta1_deg,33.8,0.3,1.5338434,-0.0117253065
theta1_deg,34.0,0.3,1.533801,-0.011767745
theta1_deg,34.2,0.3,1.5336148,-0.01195395
theta1_deg,34.400000000000006,0.3,1.5336148,-0.01195395
theta1_deg,34.6,0.3,1.5333818,-0.012186885
theta1_deg,34.8,0.3,1.5338794,-0.011689305
theta1_deg,35.0,0.3,1.5326539,-0.012914777
theta1_deg,35.2,0.3,1.5323597,-0.013208985
theta1_deg,35.400000000000006,0.3,1.5321274,-0.013441324
theta1_deg,35.6,0.3,1.5324296,-0.013139129
theta1_deg,35.8,0.3,1.5303202,-0.015248537
theta1_deg,36.0,0.3,1.5303202,-0.015248537
theta1_deg,36.2,0.3,1.5303202,-0.015248537
theta1_deg,36.400000000000006,0.3,1.5315007,-0.0140680075
theta1_deg,36.6,0.3,1.5315007,-0.0140680075
theta1_deg,36.8,0.3,1.5275489,-0.018019795
theta1_deg,37.0,0.3,1.5278213,-0.017747402
theta1_deg,37.2,0.3,1.5281006,-0.017468095
theta1_deg,37.400000000000006,0.3,1.530567,-0.015001655
theta1_deg,37.6,0.3,1.5287851,-0.016783595
theta1_deg,37.8,0.3,1.529111,-0.016457677
theta1_deg,38.0,0.3,1.526125,-0.01944375
theta2_deg,135.0,0.3,1.4975548,-0.048013926
theta2_deg,135.2,0.3,1.4974413,-0.048127413
theta2_deg,135.4,0.3,1.4985833,-0.046985388
theta2_deg,135.6,0.3,1.4985833,-0.046985388
theta2_deg,135.8,0.3,1.4989378,-0.04663086
theta2_deg,136.0,0.3,1.4986953,-0.04687345
theta2_deg,136.2,0.3,1.4998659,-0.045702815
theta2_deg,136.4,0.3,1.5007783,-0.044790387
theta2_deg,136.6,0.3,1.5011004,-0.044468284
theta2_deg,136.8,0.3,1.5020199,-0.043548822
theta2_deg,137.0,0.3,1.5033084,-0.04226029
theta2_deg,137.2,0.3,1.5033048,-0.042263865
theta2_deg,137.4,0.3,1.5024178,-0.0431509
theta2_deg,137.6,0.3,1.5074238,-0.038144946
theta2_deg,137.8,0.3,1.5067499,-0.038818836
theta2_deg,138.0,0.3,1.5071127,-0.038455963
theta2_deg,138.2,0.3,1.5082465,-0.037322164
theta2_deg,138.4,0.3,1.5081412,-0.037427545
theta2_deg,138.6,0.3,1.5085922,-0.036976457
theta2_deg,138.8,0.3,1.5088389,-0.036729813
theta2_deg,139.0,0.3,1.5089034,-0.03666532
theta2_deg,139.2,0.3,1.5107098,-0.034858942
theta2_deg,139.4,0.3,1.5115774,-0.033991337
theta2_deg,139.6,0.3,1.511532,-0.034036756
theta2_deg,139.8,0.3,1.5119019,-0.03366685
theta2_deg,140.0,0.3,1.5124203,-0.033148408
theta2_deg,140.2,0.3,1.5134231,-0.03214562
theta2_deg,140.4,0.3,1.5224028,-0.023165941
theta2_deg,140.6,0.3,1.5224028,-0.023165941
theta2_deg,140.8,0.3,1.5240117,-0.021556973
theta2_deg,141.0,0.3,1.5281851,-0.017383575
theta2_deg,141.2,0.3,1.5304054,-0.015163302
theta2_deg,141.4,0.3,1.5303181,-0.015250564
theta2_deg,141.6,0.3,1.5303181,-0.015250564
theta2_deg,141.8,0.3,1.5303181,-0.015250564
theta2_deg,142.0,0.3,1.5297539,-0.015814781
theta2_deg,142.2,0.3,1.5317067,-0.013862014
theta2_deg,142.4,0.3,1.5318795,-0.01368916
theta2_deg,142.6,0.3,1.5332483,-0.012320399
theta2_deg,142.8,0.3,1.5334747,-0.012094021
theta2_deg,143.0,0.3,1.5372223,-0.008346438
theta2_deg,143.2,0.3,1.5379379,-0.007630825
theta2_deg,143.4,0.3,1.5381411,-0.007427573
theta2_deg,143.6,0.3,1.5398259,-0.0057427883
theta2_deg,143.8,0.3,1.5398839,-0.0056848526
theta2_deg,144.0,0.3,1.5402939,-0.0052747726
theta2_deg,144.2,0.3,1.5403534,-0.005215287
theta2_deg,144.4,0.3,1.5403534,-0.005215287
theta2_deg,144.6,0.3,1.5393544,-0.006214261
theta2_deg,144.8,0.3,1.5441091,-0.0014595985
theta2_deg,145.0,0.3,1.5455687,0.0
theta2_deg,145.2,0.3,1.5514888,0.0059200525
theta2_deg,145.4,0.3,1.5536991,0.008130431
theta2_deg,145.6,0.3,1.5567899,0.01122117
theta2_deg,145.8,0.3,1.556304,0.010735273
theta2_deg,146.0,0.3,1.5582602,0.012691498
theta2_deg,146.2,0.3,1.5595233,0.013954639
theta2_deg,146.4,0.3,1.5604174,0.014848709
theta2_deg,146.6,0.3,1.560543,0.0149742365
theta2_deg,146.8,0.3,1.5610347,0.015465975
theta2_deg,147.0,0.3,1.5612658,0.015697122
theta2_deg,147.2,0.3,1.5650754,0.019506693
theta2_deg,147.4,0.3,1.5649631,0.019394398
theta2_deg,147.6,0.3,1.5671169,0.021548152
theta2_deg,147.8,0.3,1.5670211,0.021452427
theta2_deg,148.0,0.3,1.567056,0.021487236
theta2_deg,148.2,0.3,1.5645473,0.018978596
theta2_deg,148.4,0.3,1.5823696,0.03680086
theta2_deg,148.6,0.3,1.5676475,0.022078753
theta2_deg,148.8,0.3,1.5683358,0.022767067
theta2_deg,149.0,0.3,1.5704311,0.024862409
theta2_deg,149.2,0.3,1.5753746,0.029805899
theta2_deg,149.4,0.3,1.5816497,0.036080956
theta2_deg,149.6,0.3,1.5824298,0.036861062
theta2_deg,149.8,0.3,1.58361,0.038041353
theta2_deg,150.0,0.3,1.583666,0.038097262
theta2_deg,150.2,0.3,1.5838764,0.038307667
theta2_deg,150.4,0.3,1.5835665,0.03799784
theta2_deg,150.6,0.3,1.5840299,0.03846121
theta2_deg,150.8,0.3,1.5864588,0.040890098
theta2_deg,151.0,0.3,1.5864588,0.040890098
theta2_deg,151.2,0.3,1.5885006,0.042931914
theta2_deg,151.4,0.3,1.5898424,0.044273734
theta2_deg,151.6,0.3,1.588905,0.043336272
theta2_deg,151.8,0.3,1.5911367,0.04556799
theta2_deg,152.0,0.3,1.5908921,0.045323372
theta2_deg,152.2,0.3,1.5940518,0.048483133
theta2_deg,152.4,0.3,1.5954938,0.04992509
theta2_deg,152.6,0.3,1.5953467,0.049777985
theta2_deg,152.8,0.3,1.5975688,0.052000046
theta2_deg,153.0,0.3,1.5986886,0.053119898
theta2_deg,153.2,0.3,1.5985199,0.052951217
theta2_deg,153.4,0.3,1.5991446,0.053575873
theta2_deg,153.6,0.3,1.6023388,0.056770086
theta2_deg,153.8,0.3,1.6024083,0.056839585
theta2_deg,154.0,0.3,1.6078837,0.062314987
theta2_deg,154.2,0.3,1.6082704,0.0627017
theta2_deg,154.4,0.3,1.6071694,0.061600685
theta2_deg,154.6,0.3,1.6061743,0.060605645
theta2_deg,154.8,0.3,1.6073472,0.061778545
theta2_deg,155.0,0.3,1.6067158,0.061147094
