L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_error_percent,Delta_BF_error_percent,BF_change_percent,Delta_BF_change_pp,Delta_BF_change_percent
37.12390819712917,142.8174862281648,154.89021165125135,18.35086433330808,146.83920939519535,0.3,1.6524333444944634,28.83644734282412,1.6246464801184892,28.543194141215682,1.1548206125423714,0.46982586757611783,2.4579757996302227,1.710332968803629,1.027401488976968,4.225749776177088,0.4218448563656416,1.5000875388042076
36.09487325700815,143.0869777073979,154.03501618306183,19.003198618323975,146.2795438471413,0.3,1.6597800563374894,28.927633367286095,1.631495402861285,28.626985522467272,1.1610735774524146,0.4704218254088704,2.468154143237847,1.7336643073954963,1.0502253008192761,4.665127891208569,0.5056362376172316,1.7980511265497336
37.29731526612794,142.43038022670012,152.13948581626022,18.386016844225033,145.83285185105902,0.3,1.665576821427487,29.06885457676258,1.639666335754194,28.78647920370786,1.1695089792736775,0.47015735648051665,2.4874841649364727,1.5802291666477997,0.9809305648547255,5.18931676402241,0.6651299188578186,2.3652133904405055
36.13158517540473,142.6269342041292,152.06178746931937,19.76165360625999,145.91815908482386,0.3,1.6698940084671108,29.16604841866081,1.6423016098238437,28.8598855712632,1.1725843061446088,0.4697173036792349,2.4963617413280446,1.6801054372848563,1.060859533353345,5.358377183711322,0.7385362864131579,2.6262476915040254
35.85633952536719,142.3807942175861,157.13945067052833,18.45865138884336,152.00551205660526,0.3,1.6768144903182183,29.272160210397136,1.6432521133505782,28.9041047256689,1.1739799542166618,0.46927215913391634,2.5017038223263586,2.0424362576480526,1.2733675310876347,5.4193547218718585,0.7827554408188604,2.783491762397611
36.19750827207219,142.67507387438496,155.98373513864894,18.331718253828235,151.0996553369072,0.3,1.6807114278073203,29.297881453837366,1.6480555670066324,28.94219955649554,1.1780289512336266,0.4700266157730057,2.506302646917644,1.9814781403275659,1.2289387219776746,5.7275101051776796,0.8208502716455008,2.918957633685528
37.8880106681578,143.09547346716184,156.06789256898045,18.0941464576447,151.95072410853865,0.3,1.6836971631025048,29.33238091561532,1.6505501805044505,28.97484654034705,1.1803402936109264,0.47020988689352394,2.5102413337348795,2.008238403749943,1.2339474335797131,5.8875467441595335,0.8534972554970075,3.035050867764786
35.77368309921503,142.80619562094236,155.2043991518032,18.419718841362943,151.0716866250143,0.3,1.6898801779315904,29.419867671524475,1.657015496485941,29.061337191426496,1.1863613827166253,0.4706541137693157,2.5206650659343928,1.983365968233014,1.233702626057244,6.302315380879565,0.9399879065764551,3.3426131052782013
39.024342551548834,143.12535750477153,155.7540073019235,18.260411191542754,153.3489440678209,0.3,1.6932074620784108,29.517629443914092,1.6591502528231632,29.145834652501527,1.1892469689726046,0.4699032838505587,2.5308334924316376,2.052689875271802,1.2756361100835891,6.439266146821095,1.0244853676514865,3.643087524976665
36.607289431776934,142.62053021477476,152.76578965001107,18.22293198472252,149.25431326290362,0.3,1.692944835583332,29.481877833225877,1.6632044213611004,29.15375740263159,1.192279980963832,0.4709244403972684,2.531786160765055,1.788139439762513,1.1254824757671464,6.699352732276085,1.03240811778155,3.6712609602190907
36.918942721254076,142.34278967496041,154.7677231104673,18.055493381114204,152.20762536770187,0.3,1.6969671016894603,29.58932535763058,1.6638944519994086,29.219298101796692,1.1938229097068087,0.47007154229259984,2.539662162666516,1.9876651220460648,1.266379686961531,6.743620184627296,1.0979488169466514,3.9043248096852703
38.77162425969745,143.01382305646936,154.39425667724313,18.038036622863046,152.47741406210866,0.3,1.6988815225930076,29.597033809648362,1.6663926798564457,29.24026825487587,1.195950031552067,0.4704426483043786,2.5421802973489807,1.9496510714005746,1.2201172426419262,6.903888695160392,1.1189189700258275,3.9788950334208484
35.35821932632156,142.44700923591807,156.34735622705256,18.41218502076137,154.06050704425425,0.3,1.703850590500064,29.67429632649633,1.6675964831772576,29.270034401045926,1.1972883673867498,0.4703081157905078,2.5457531503029927,2.174033567984731,1.381146055079309,6.981116144473257,1.1486851161958853,4.0847439593331405
36.48180599910522,142.7389991583736,155.14508255471367,18.286671201693856,153.87306474108107,0.3,1.710952310872583,29.77463476688799,1.6757155708570148,29.381709205174865,1.2048954535771574,0.4708201172798575,2.5591418237147296,2.1027876465662367,1.3373134931303445,7.5019789975780755,1.2603599203248237,4.481861476696013
35.860894342138415,142.72588520214012,155.35229365803494,18.074544444833634,154.00672785909398,0.3,1.7132214971404798,29.783567001478378,1.677419814483119,29.386469922269455,1.2061963569527752,0.47122345753034384,2.559712038263935,2.1343304966498673,1.351292211209068,7.611311133464657,1.2651206374194146,4.498790668273445
37.17308399235731,142.01838872485902,153.47407196898868,18.18442936493826,153.16589221522594,0.3,1.7132404060485897,29.89394215633953,1.6803067435488803,29.51615028128233,1.21032078763785,0.4699859559110304,2.5752275624741583,1.9599791898800634,1.279949693496373,7.796515945780302,1.3948009964322878,4.959936247382397
