Parameter,Parameter_Value,Delta_BF_percent
theta1_deg,32.2,28.24505893388951
theta1_deg,32.4,28.251931516672617
theta1_deg,32.6,28.258897347265783
theta1_deg,32.8,28.265956950532896
theta1_deg,33.0,28.27311085203219
theta1_deg,33.2,28.280359578082436
theta1_deg,33.4,28.287703655829432
theta1_deg,33.6,28.295143613312156
theta1_deg,33.8,28.302679979529493
theta1_deg,34.0,28.310313284506776
theta1_deg,34.2,28.318044059362464
theta1_deg,34.400000000000006,28.325872836375044
theta1_deg,34.6,28.333800149049924
theta1_deg,34.8,28.341826532186627
theta1_deg,35.0,28.34995252194575
theta1_deg,35.2,28.35817865591651
theta1_deg,35.400000000000006,28.36650547318414
theta1_deg,35.6,28.374933514397306
theta1_deg,35.8,28.38346332183612
theta1_deg,36.0,28.392095439479803
theta1_deg,36.2,28.400830413074896
theta1_deg,36.400000000000006,28.409668790203263
theta1_deg,36.6,28.41861112035061
theta1_deg,36.8,28.42765795497495
theta1_deg,37.0,28.436809847575343
theta1_deg,37.2,28.44606735376075
theta1_deg,37.400000000000006,28.45543103131914
theta1_deg,37.6,28.464901440286777
theta1_deg,37.8,28.47447914301768
theta1_deg,38.0,28.484164704253384
theta2_deg,135.0,26.94261749362678
theta2_deg,135.2,26.9653317995812
theta2_deg,135.4,26.988089832972555
theta2_deg,135.6,27.01089116432287
theta2_deg,135.8,27.033735355762566
theta2_deg,136.0,27.05662196093875
theta2_deg,136.2,27.079550524923125
theta2_deg,136.4,27.102520584119482
theta2_deg,136.6,27.125531666170872
theta2_deg,136.8,27.14858328986634
theta2_deg,137.0,27.17167496504741
theta2_deg,137.2,27.194806192514033
theta2_deg,137.4,27.21797646393046
theta2_deg,137.6,27.241185261730543
theta2_deg,137.8,27.264432059023
theta2_deg,138.0,27.28771631949612
theta2_deg,138.2,27.31103749732247
theta2_deg,138.4,27.334395037063175
theta2_deg,138.6,27.357788373572035
theta2_deg,138.8,27.381216931899395
theta2_deg,139.0,27.404680127195817
theta2_deg,139.2,27.42817736461573
theta2_deg,139.4,27.45170803922054
theta2_deg,139.6,27.475271535882083
theta2_deg,139.8,27.49886722918566
theta2_deg,140.0,27.52249448333293
theta2_deg,140.2,27.54615265204505
theta2_deg,140.4,27.56984107846529
theta2_deg,140.6,27.593559095062204
theta2_deg,140.8,27.617306023532162
theta2_deg,141.0,27.64108117470248
theta2_deg,141.2,27.664883848434123
theta2_deg,141.4,27.688713333524838
theta2_deg,141.6,27.712568907612088
theta2_deg,141.8,27.73644983707641
theta2_deg,142.0,27.760355376944588
theta2_deg,142.2,27.784284770793345
theta2_deg,142.4,27.80823725065294
theta2_deg,142.6,27.832212036911248
theta2_deg,142.8,27.856208338217947
theta2_deg,143.0,27.880225351389036
theta2_deg,143.2,27.90426226131169
theta2_deg,143.4,27.928318240849663
theta2_deg,143.6,27.952392450748558
theta2_deg,143.8,27.97648403954232
theta2_deg,144.0,28.0005921434594
theta2_deg,144.2,28.02471588633006
theta2_deg,144.4,28.048854379493648
theta2_deg,144.6,28.073006721706996
theta2_deg,144.8,28.09717199905296
theta2_deg,145.0,28.121349284850027
theta2_deg,145.2,28.145537639562246
theta2_deg,145.4,28.16973611071007
theta2_deg,145.6,28.193943732782074
theta2_deg,145.8,28.21815952714718
theta2_deg,146.0,28.24238250196805
theta2_deg,146.2,28.26661165211525
theta2_deg,146.4,28.290845959082272
theta2_deg,146.6,28.31508439090183
theta2_deg,146.8,28.339325902062683
theta2_deg,147.0,28.36356943342822
theta2_deg,147.2,28.387813912155536
theta2_deg,147.4,28.412058251616152
theta2_deg,147.6,28.4363013513177
theta2_deg,147.8,28.46054209682694
theta2_deg,148.0,28.484779359694233
theta2_deg,148.2,28.509011997379247
theta2_deg,148.4,28.533238853178194
theta2_deg,148.6,28.55745875615242
theta2_deg,148.8,28.58167052105885
theta2_deg,149.0,28.605872948281608
theta2_deg,149.2,28.63006482376563
theta2_deg,149.4,28.65424491895187
theta2_deg,149.6,28.678411990714324
theta2_deg,149.8,28.70256478129875
theta2_deg,150.0,28.72670201826341
theta2_deg,150.2,28.7508224144218
theta2_deg,150.4,28.774924667787243
theta2_deg,150.6,28.799007461519725
theta2_deg,150.8,28.823069463874795
theta2_deg,151.0,28.847109328154446
theta2_deg,151.2,28.871125692660836
theta2_deg,151.4,28.895117180651685
theta2_deg,151.6,28.919082400298585
theta2_deg,151.8,28.943019944647393
theta2_deg,152.0,28.966928391581458
theta2_deg,152.2,28.99080630378732
theta2_deg,152.4,29.01465222872301
theta2_deg,152.6,29.038464698589234
theta2_deg,152.8,29.062242230303365
theta2_deg,153.0,29.085983325476107
theta2_deg,153.2,29.109686470391438
theta2_deg,153.4,29.133350135989346
theta2_deg,153.6,29.156972777851724
theta2_deg,153.8,29.18055283619152
theta2_deg,154.0,29.204088735845087
theta2_deg,154.2,29.227578886267757
theta2_deg,154.4,29.251021681533086
theta2_deg,154.6,29.274415500335188
theta2_deg,154.8,29.297758705995086
theta2_deg,155.0,29.32104964647031
