Parameter,Parameter_Value,BF
theta1_deg,18.2,1.572739741667723
theta1_deg,18.4,1.572184232067104
theta1_deg,18.6,1.571627619293881
theta1_deg,18.8,1.5710699946259385
theta1_deg,19.0,1.57051144879864
theta1_deg,19.2,1.569952072006286
theta1_deg,19.4,1.5693919539036703
theta1_deg,19.6,1.5688311836077289
theta1_deg,19.8,1.5682698496992833
theta1_deg,20.0,1.567708040224873
theta1_deg,20.2,1.5671458426986784
theta1_deg,20.4,1.5665833441045325
theta1_deg,20.6,1.566020630898013
theta1_deg,20.8,1.565457789008623
theta1_deg,21.0,1.5648949038420517
theta1_deg,21.2,1.5643320602825164
theta1_deg,21.4,1.563769342695178
theta1_deg,21.6,1.5632068349286414
theta1_deg,21.8,1.562644620317523
theta1_deg,22.0,1.5620827816850955
theta1_deg,22.2,1.5615214013460057
theta1_deg,22.4,1.5609605611090576
theta1_deg,22.6,1.5604003422800679
theta1_deg,22.8,1.5598408256647867
theta1_deg,23.0,1.5592820915718866
theta1_deg,23.2,1.5587242198160074
theta1_deg,23.4,1.5581672897208758
theta1_deg,23.6,1.5576113801224727
theta1_deg,23.8,1.55705656937227
theta1_deg,24.0,1.5565029353405218
theta1_deg,24.2,1.5559505554196085
theta1_deg,24.4,1.555399506527443
theta1_deg,24.6,1.5548498651109266
theta1_deg,24.8,1.5543017071494574
theta1_deg,25.0,1.5537551081584904
theta1_deg,25.2,1.5532101431931502
theta1_deg,25.4,1.5526668868518883
theta1_deg,25.6,1.552125413280189
theta1_deg,25.8,1.5515857961743247
theta1_deg,26.0,1.5510481087851526
theta1_deg,26.200000000000003,1.5505124239219559
theta1_deg,26.4,1.5499788139563284
theta1_deg,26.6,1.5494473508261042
theta1_deg,26.8,1.5489181060393196
theta1_deg,27.0,1.5483911506782233
theta1_deg,27.200000000000003,1.5478665554033186
theta1_deg,27.4,1.5473443904574493
theta1_deg,27.6,1.546824725669915
theta1_deg,27.8,1.546307630460626
theta1_deg,28.0,1.5457931738442943
theta1_deg,28.200000000000003,1.5452814244346542
theta1_deg,28.4,1.544772450448716
theta1_deg,28.6,1.5442663197110564
theta1_deg,28.8,1.5437630996581324
